"Jahr";"Examensstufe";"Fachrichtung";"Geschlecht";"Hochschule";Abschlüsse der universitären Hochschulen
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"FR";4
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"GE";2
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"LS";10
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"LU";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"NE";1
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"SG";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"UZH";10
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"USI";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"Andere UI";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"EPFL";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Mann";"ETHZ";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"BS";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"BE";18
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"FR";19
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"GE";13
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"LS";22
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"LU";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"NE";4
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"SG";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"UZH";36
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"USI";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"Andere UI";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"EPFL";0
"2020";"Master";"Englische Sprach- und Literaturwissenschaften";"Frau";"ETHZ";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"BS";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"BE";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"FR";3
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"GE";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"LS";2
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"LU";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"NE";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"SG";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"UZH";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"USI";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"Andere UI";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"EPFL";0
"2020";"Master";"Andere moderne Sprachen Europas";"Mann";"ETHZ";0
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"BS";0
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"BE";6
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"FR";3
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"GE";6
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"LS";3
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"LU";0
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"NE";1
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"SG";0
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"UZH";7
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"USI";0
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"Andere UI";0
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"EPFL";0
"2020";"Master";"Andere moderne Sprachen Europas";"Frau";"ETHZ";0
"2020";"Master";"Klassische Sprachen Europas";"Mann";"BS";2
"2020";"Master";"Klassische Sprachen Europas";"Mann";"BE";0
"2020";"Master";"Klassische Sprachen Europas";"Mann";"FR";2
"2020";"Master";"Klassische Sprachen Europas";"Mann";"GE";1
"2020";"Master";"Klassische Sprachen Europas";"Mann";"LS";0
"2020";"Master";"Klassische Sprachen Europas";"Mann";"LU";0
"2020";"Master";"Klassische Sprachen Europas";"Mann";"NE";0
"2020";"Master";"Klassische Sprachen Europas";"Mann";"SG";0
"2020";"Master";"Klassische Sprachen Europas";"Mann";"UZH";1
"2020";"Master";"Klassische Sprachen Europas";"Mann";"USI";0
"2020";"Master";"Klassische Sprachen Europas";"Mann";"Andere UI";0
"2020";"Master";"Klassische Sprachen Europas";"Mann";"EPFL";0
"2020";"Master";"Klassische Sprachen Europas";"Mann";"ETHZ";0
"2020";"Master";"Klassische Sprachen Europas";"Frau";"BS";1
"2020";"Master";"Klassische Sprachen Europas";"Frau";"BE";1
"2020";"Master";"Klassische Sprachen Europas";"Frau";"FR";3
"2020";"Master";"Klassische Sprachen Europas";"Frau";"GE";3
"2020";"Master";"Klassische Sprachen Europas";"Frau";"LS";0
"2020";"Master";"Klassische Sprachen Europas";"Frau";"LU";0
"2020";"Master";"Klassische Sprachen Europas";"Frau";"NE";0
